slot_id,week,day,slot_code,start,end,room_capacity,is_sunday
W3_Thu_S5,3,Thu,S5,16:30,18:00,10,0
W3_Thu_S6,3,Thu,S6,18:15,19:45,10,0
W3_Fri_S1,3,Fri,S1,09:00,10:30,10,0
W3_Fri_S2,3,Fri,S2,10:45,12:15,10,0
W3_Fri_S3,3,Fri,S3,12:30,14:00,10,0
W3_Fri_S4,3,Fri,S4,14:45,16:15,10,0
W3_Fri_S5,3,Fri,S5,16:30,18:00,10,0
W3_Fri_S6,3,Fri,S6,18:15,19:45,10,0
W3_Sat_S1,3,Sat,S1,09:00,10:30,10,0
W3_Sat_S2,3,Sat,S2,10:45,12:15,10,0
W3_Sat_S3,3,Sat,S3,12:30,14:00,10,0
W3_Sat_S4,3,Sat,S4,14:45,16:15,10,0
W3_Sat_S5,3,Sat,S5,16:30,18:00,10,0
W3_Sat_S6,3,Sat,S6,18:15,19:45,10,0
W3_Sun_S1,3,Sun,S1,09:00,10:30,10,1
W3_Sun_S2,3,Sun,S2,10:45,12:15,10,1
W3_Sun_S3,3,Sun,S3,12:30,14:00,10,1
W3_Sun_S4,3,Sun,S4,15:30,17:00,10,1
W4_Mon_S1,4,Mon,S1,09:00,10:30,10,0
W4_Mon_S2,4,Mon,S2,10:45,12:15,10,0
W4_Mon_S3,4,Mon,S3,12:30,14:00,10,0
W4_Mon_S4,4,Mon,S4,14:45,16:15,10,0
W4_Mon_S5,4,Mon,S5,16:30,18:00,10,0
W4_Mon_S6,4,Mon,S6,18:15,19:45,10,0
W4_Tue_S1,4,Tue,S1,09:00,10:30,10,0
W4_Tue_S2,4,Tue,S2,10:45,12:15,10,0
W4_Tue_S3,4,Tue,S3,12:30,14:00,10,0
W4_Tue_S4,4,Tue,S4,14:45,16:15,10,0
W4_Tue_S5,4,Tue,S5,16:30,18:00,10,0
W4_Tue_S6,4,Tue,S6,18:15,19:45,10,0
W4_Wed_S1,4,Wed,S1,09:00,10:30,10,0
W4_Wed_S2,4,Wed,S2,10:45,12:15,10,0
W4_Wed_S3,4,Wed,S3,12:30,14:00,10,0
W4_Wed_S4,4,Wed,S4,14:45,16:15,10,0
W4_Wed_S5,4,Wed,S5,16:30,18:00,10,0
W4_Wed_S6,4,Wed,S6,18:15,19:45,10,0
W4_Thu_S1,4,Thu,S1,09:00,10:30,10,0
W4_Thu_S2,4,Thu,S2,10:45,12:15,10,0
W4_Thu_S3,4,Thu,S3,12:30,14:00,10,0
W4_Thu_S4,4,Thu,S4,14:45,16:15,10,0
W4_Thu_S5,4,Thu,S5,16:30,18:00,10,0
W4_Thu_S6,4,Thu,S6,18:15,19:45,10,0
W4_Fri_S1,4,Fri,S1,09:00,10:30,10,0
W4_Fri_S2,4,Fri,S2,10:45,12:15,10,0
W4_Fri_S3,4,Fri,S3,12:30,14:00,10,0
W4_Fri_S4,4,Fri,S4,14:45,16:15,10,0
W4_Fri_S5,4,Fri,S5,16:30,18:00,10,0
W4_Fri_S6,4,Fri,S6,18:15,19:45,10,0
W4_Sat_S1,4,Sat,S1,09:00,10:30,10,0
W4_Sat_S2,4,Sat,S2,10:45,12:15,10,0
W4_Sat_S3,4,Sat,S3,12:30,14:00,10,0
W4_Sat_S4,4,Sat,S4,14:45,16:15,10,0
W4_Sat_S5,4,Sat,S5,16:30,18:00,10,0
W4_Sat_S6,4,Sat,S6,18:15,19:45,10,0
W4_Sun_S1,4,Sun,S1,09:00,10:30,10,1
W4_Sun_S2,4,Sun,S2,10:45,12:15,10,1
W4_Sun_S3,4,Sun,S3,12:30,14:00,10,1
W4_Sun_S4,4,Sun,S4,15:30,17:00,10,1
W5_Mon_S1,5,Mon,S1,09:00,10:30,4,0
W5_Mon_S2,5,Mon,S2,10:45,12:15,4,0
W5_Mon_S3,5,Mon,S3,12:30,14:00,4,0
W5_Mon_S4,5,Mon,S4,14:45,16:15,4,0
W5_Mon_S5,5,Mon,S5,16:30,18:00,4,0
W5_Mon_S6,5,Mon,S6,18:15,19:45,4,0
W5_Tue_S1,5,Tue,S1,09:00,10:30,4,0
W5_Tue_S2,5,Tue,S2,10:45,12:15,4,0
W5_Tue_S3,5,Tue,S3,12:30,14:00,4,0
W5_Tue_S4,5,Tue,S4,14:45,16:15,4,0
W5_Tue_S5,5,Tue,S5,16:30,18:00,4,0
W5_Tue_S6,5,Tue,S6,18:15,19:45,4,0
W5_Wed_S1,5,Wed,S1,09:00,10:30,4,0
W5_Wed_S2,5,Wed,S2,10:45,12:15,4,0
W5_Wed_S3,5,Wed,S3,12:30,14:00,4,0
W5_Wed_S4,5,Wed,S4,14:45,16:15,4,0
W5_Wed_S5,5,Wed,S5,16:30,18:00,4,0
W5_Wed_S6,5,Wed,S6,18:15,19:45,4,0
W5_Thu_S1,5,Thu,S1,09:00,10:30,4,0
W5_Thu_S2,5,Thu,S2,10:45,12:15,4,0
W5_Thu_S3,5,Thu,S3,12:30,14:00,4,0
W5_Thu_S4,5,Thu,S4,14:45,16:15,4,0
W5_Thu_S5,5,Thu,S5,16:30,18:00,4,0
W5_Thu_S6,5,Thu,S6,18:15,19:45,4,0
