course_id,student_id
DMPA,BA008-24
DMPA,BA010-24
DMPA,BA012-24
DMPA,BA015-24
DMPA,BA017-24
DMPA,BA020-24
DMPA,BA022-24
DMPA,BA023-24
DMPA,BA024-24
DMPA,BA025-24
DMPA,BA028-24
DMPA,BA029-24
DMPA,BA030-24
DMPA,BA033-24
DMPA,BA037-24
DMPA,BA041-24
DMPA,BA043-24
DMPA,BA050-24
DMPA,BA051-24
DMPA,IPM009-21
DMPA,IPM011-21
DMPA,IPM032-21
DMPA,IPM040-21
DMPA,IPM052-21
DMPA,IPM063-21
DMPA,IPM087-21
DMPA,IPM118-21
DMPA,M012-24
DMPA,M027-24
DMPA,M036-24
DMPA,M038-24
DMPA,M064-24
DMPA,M065-24
DMPA,M070-24
DMPA,M084-24
DMPA,M104-24
DMPA,M112-24
DMPA,M139-24
DMPA,M153-24
DMPA,M155-24
DMPA,M197-24
DMPA,M246-24
DMPA,M260-24
DMPA,BA005-24
DMPA,BA006-24
DMPA,BA007-24
DMPA,BA011-24
DMPA,BA013-24
DMPA,BA014-24
DMPA,BA018-24
DMPA,BA019-24
DMPA,BA021-24
DMPA,BA031-24
DMPA,BA032-24
DMPA,BA035-24
DMPA,BA036-24
DMPA,BA038-24
DMPA,BA039-24
DMPA,BA040-24
DMPA,BA042-24
DMPA,BA047-24
DMPA,BA048-24
DMPA,BA049-24
DMPA,BA052-24
DMPA,BA054-24
DMPA,BA055-24
DMPA,IPM006-21
DMPA,IPM021-21
DMPA,IPM029-21
DMPA,IPM033-21
DMPA,IPM056-21
DMPA,IPM058-21
DMPA,IPM062-21
DMPA,IPM067-21
DMPA,IPM073-21
DMPA,IPM078-21
DMPA,IPM085-21
DMPA,IPM093-21
DMPA,IPM115-21
DMPA,IPM123-21
DMPA,M004-24
DMPA,M007-24
DMPA,M026-24
DMPA,M056-24
DMPA,M060-24
DMPA,M102-24
DMPA,M143-24
DMPA,M154-24
DMPA,M166-24
DMPA,M198-24
DWDV,BA004-23
DWDV,BA004-24
DWDV,BA006-24
DWDV,BA007-24
DWDV,BA009-24
DWDV,BA014-24
DWDV,BA015-24
DWDV,BA017-24
DWDV,BA023-24
DWDV,BA024-24
DWDV,BA025-24
DWDV,BA026-24
DWDV,BA028-24
DWDV,BA029-24
DWDV,BA030-24
DWDV,BA031-24
DWDV,BA033-24
DWDV,BA035-24
DWDV,BA036-24
DWDV,BA037-24
DWDV,BA041-24
DWDV,BA042-24
DWDV,BA043-24
DWDV,BA046-24
DWDV,BA047-24
DWDV,BA050-24
DWDV,BA051-24
DWDV,BA052-24
DWDV,BA054-24
DWDV,BA055-24
DWDV,IPM003-21
DWDV,IPM044-21
DWDV,IPM056-21
DWDV,IPM058-21
DWDV,IPM070-21
DWDV,IPM076-21
DWDV,IPM081-21
DWDV,IPM114-21
DWDV,IPM117-21
DWDV,IPM118-21
DWDV,M012-24
DWDV,M017-24
DWDV,M020-24
DWDV,M025-24
DWDV,M026-24
DWDV,M027-24
DWDV,M029-24
DWDV,M036-24
DWDV,M040-23
DWDV,M070-24
DWDV,M074-24
DWDV,M075-24
DWDV,M097-24
DWDV,M099-24
DWDV,M112-24
DWDV,M133-24
DWDV,M139-24
DWDV,M143-24
DWDV,M153-24
DWDV,M163-24
DWDV,M166-24
